privacy_clause,security_clause,termination_clause,liability_clause,country_risk,penalty_amount,document_length,risk_score,risk_level
1,1,0,1,0.2989120412044165,847236.5776964198,4535,47.632826881078635,Medium
0,1,1,1,0.09481777516205803,494517.04371937044,14646,51.422728519130075,High
1,1,1,0,0.12635922497221597,195465.61063218582,6951,32.45479149929016,Medium
1,1,1,1,0.1806711281809218,736641.7866100926,8182,42.58969283906285,Medium
1,1,1,1,0.20365333436494837,418678.1356832957,13682,41.87117985378598,Medium
1,0,0,1,0.24226180921054408,594627.4834524972,4661,62.67134355026895,High
1,1,0,1,0.2554600289634944,107265.29017393882,12995,45.23772166120285,Medium
0,1,1,1,0.4557163454875359,631583.9895159922,13412,57.88846736156825,High
1,1,0,1,0.5095731908260412,373550.4889451243,638,48.042875322314885,Medium
1,1,1,1,0.30887920812635594,334189.7497184945,17559,36.40764661096509,Medium
1,0,1,1,0.9072964199207282,979915.5787778012,11286,73.42774245858703,High
0,1,1,0,0.5531397233389546,432430.6427602472,2336,70.18366703071717,High
0,0,1,0,0.7874769280334067,678038.3781157342,11628,99.63920122670183,Critical
1,1,1,1,0.9242378324208433,627727.5355738411,9372,52.083916397622026,High
1,1,1,1,0.1631351145758052,104303.55088515763,11571,28.145912750729224,Medium
1,1,0,1,0.4278744837156345,747927.5370643161,4866,53.957615497904236,High
1,1,0,1,0.4332104017146088,323159.2034335765,2847,45.310287650153285,Medium
1,1,0,1,0.3544722504383542,798939.549196735,17949,55.07609153954756,High
1,1,1,1,0.00890586655163994,607640.7826153825,14138,29.3490492292562,Medium
1,1,1,1,0.815972107778095,317091.48995348957,11735,48.12707694645631,Medium
1,1,1,0,0.1115593215539028,356292.96033107094,3826,41.69890391261345,Medium
1,1,1,1,0.9954805979217589,731507.3696663607,16762,59.08430349869029,High
1,0,1,1,0.7729584919111816,550059.3151228819,9421,67.02546756874963,High
1,1,1,1,0.5800100176065145,668351.0406713153,8549,45.91204287362508,Medium
1,1,1,1,0.15460641774159745,158318.3210751883,10085,24.798029826023296,Low
0,1,1,1,0.515392971393247,786976.6722284186,19786,68.80856317168976,High
1,0,1,1,0.2611087408578089,320391.3189150347,550,49.694254033074486,Medium
1,0,1,1,0.25232252454306947,619861.2671576734,19852,57.17247270078223,High
1,1,1,1,0.8295292493824854,114679.82524200871,6866,51.4779403771165,High
1,1,1,1,0.38064442395943465,321420.241156967,9209,29.07759701242943,Medium
1,1,0,1,0.4507238033908041,648867.2930666418,8655,51.28817502111873,High
1,0,1,1,0.8429647377801183,274206.1322902506,13394,58.114126477287606,High
